order_id,customer,product,order_qty,order_date,delivery_date,status,amount
ORD0048,苏州精工,液压阀体,5724,2026-04-03,2026-05-06,未开始,1030320
ORD0049,苏州精工,电机外壳,4186,2026-02-25,2026-04-09,延期,577668
ORD0050,金陵机电,铝合金支架,2506,2026-01-28,2026-03-04,延期,315756
ORD0051,远航科技,铝合金支架,1503,2026-03-22,2026-04-29,未开始,169839
ORD0052,北方工业,铝合金支架,4585,2026-03-17,2026-04-27,生产中,252175
ORD0053,远航科技,精密齿轮,4670,2026-03-05,2026-04-16,延期,280200
ORD0054,金陵机电,精密齿轮,4675,2026-02-16,2026-03-29,延期,1079925
ORD0055,华东制造,铝合金支架,3069,2026-03-03,2026-03-22,延期,475695
ORD0056,金陵机电,精密齿轮,2740,2026-03-20,2026-04-06,已完成,537040
ORD0057,北方工业,传动轴,3833,2026-02-01,2026-03-13,延期,659276
ORD0058,北方工业,精密齿轮,1379,2026-03-14,2026-04-11,已完成,228914
ORD0059,苏州精工,控制面板,2435,2026-04-18,2026-05-05,生产中,411515
ORD0060,北方工业,传动轴,1847,2026-03-15,2026-04-27,生产中,301061
ORD0061,远航科技,精密齿轮,3719,2026-02-17,2026-03-07,延期,877684
ORD0062,海川装备,电机外壳,763,2026-01-31,2026-03-08,延期,157941
ORD0063,苏州精工,精密齿轮,2310,2026-03-04,2026-04-02,延期,277200
ORD0064,北方工业,液压阀体,2060,2026-04-19,2026-05-16,未开始,300760
ORD0065,北方工业,液压阀体,2175,2026-03-06,2026-03-31,延期,415425
ORD0066,海川装备,液压阀体,897,2026-04-25,2026-05-31,生产中,76245
ORD0067,北方工业,液压阀体,4027,2026-04-03,2026-04-19,延期,297998
ORD0068,恒通设备,铝合金支架,5027,2026-02-24,2026-03-09,延期,1070751
ORD0069,恒通设备,传动轴,3414,2026-02-14,2026-03-20,延期,546240
ORD0070,北方工业,传动轴,3618,2026-04-04,2026-04-22,延期,426924
ORD0071,恒通设备,液压阀体,5369,2026-04-08,2026-05-07,生产中,708708
ORD0072,苏州精工,控制面板,2482,2026-03-24,2026-04-12,延期,578306
ORD0073,金陵机电,铝合金支架,2194,2026-02-18,2026-03-30,延期,304966
ORD0074,远航科技,控制面板,5086,2026-03-02,2026-04-10,延期,554374
ORD0075,华东制造,传动轴,3558,2026-01-27,2026-02-15,延期,640440
ORD0076,华东制造,传动轴,2892,2026-04-21,2026-05-18,已完成,309444
ORD0077,恒通设备,电机外壳,2441,2026-03-30,2026-05-01,生产中,563871
ORD0078,金陵机电,液压阀体,1539,2026-01-26,2026-02-13,延期,173907
ORD0079,远航科技,液压阀体,1580,2026-02-01,2026-03-02,延期,142200
ORD0080,苏州精工,铝合金支架,576,2026-04-24,2026-05-25,生产中,149184
ORD0081,恒通设备,控制面板,5793,2026-04-19,2026-05-14,未开始,1019568
ORD0082,远航科技,电机外壳,995,2026-03-06,2026-04-17,延期,122385
ORD0083,海川装备,铝合金支架,2728,2026-02-17,2026-03-03,延期,319176
ORD0084,金陵机电,电机外壳,4612,2026-01-29,2026-02-11,延期,438140
ORD0085,金陵机电,铝合金支架,1195,2026-02-10,2026-02-26,延期,213905
ORD0086,恒通设备,精密齿轮,901,2026-01-29,2026-02-27,延期,104516
ORD0087,远航科技,传动轴,3781,2026-03-09,2026-03-24,延期,752419
ORD0088,远航科技,电机外壳,5530,2026-02-05,2026-03-02,延期,1188950
ORD0089,远航科技,传动轴,1320,2026-03-25,2026-04-19,已完成,155760
ORD0090,华东制造,控制面板,2972,2026-03-15,2026-04-02,延期,267480
ORD0091,恒通设备,控制面板,4973,2026-03-08,2026-03-24,延期,855356
ORD0092,苏州精工,传动轴,5475,2026-03-01,2026-03-21,延期,344925
ORD0093,海川装备,电机外壳,3026,2026-03-06,2026-04-15,延期,529550
ORD0094,苏州精工,电机外壳,1202,2026-01-30,2026-03-03,延期,307712
ORD0095,华东制造,铝合金支架,1141,2026-01-28,2026-03-06,延期,115241
ORD0096,恒通设备,控制面板,2446,2026-04-19,2026-05-29,已完成,288628
ORD0097,金陵机电,液压阀体,4651,2026-03-05,2026-03-23,延期,1158099
ORD0098,远航科技,控制面板,5837,2026-03-04,2026-04-15,延期,321035
ORD0099,苏州精工,液压阀体,5836,2026-03-18,2026-04-09,延期,513568
ORD0100,海川装备,液压阀体,5280,2026-02-10,2026-02-24,延期,897600
ORD0101,远航科技,液压阀体,3556,2026-04-24,2026-05-24,生产中,864108
ORD0102,华东制造,电机外壳,2942,2026-03-19,2026-04-27,生产中,694312
ORD0103,恒通设备,电机外壳,4983,2026-03-24,2026-05-03,生产中,1141107
ORD0104,金陵机电,控制面板,4303,2026-04-19,2026-05-05,未开始,1110174
ORD0105,苏州精工,传动轴,1426,2026-04-09,2026-04-22,延期,128340
ORD0106,海川装备,精密齿轮,5520,2026-04-19,2026-04-29,生产中,1181280
ORD0107,金陵机电,电机外壳,2326,2026-02-26,2026-03-29,延期,448918
ORD0108,苏州精工,电机外壳,5032,2026-03-01,2026-04-10,延期,905760
ORD0109,北方工业,电机外壳,707,2026-03-08,2026-03-27,延期,44541
ORD0110,北方工业,液压阀体,2856,2026-01-27,2026-02-09,延期,419832
ORD0111,金陵机电,铝合金支架,1768,2026-04-20,2026-05-09,未开始,233376
ORD0112,海川装备,精密齿轮,4150,2026-02-22,2026-03-06,延期,518750
ORD0113,恒通设备,液压阀体,3217,2026-04-21,2026-05-06,生产中,218756
ORD0114,北方工业,精密齿轮,3728,2026-02-16,2026-04-02,延期,264688
ORD0115,北方工业,铝合金支架,3210,2026-03-11,2026-03-29,延期,709410
ORD0116,远航科技,传动轴,5749,2026-03-01,2026-03-28,延期,816358
ORD0117,华东制造,液压阀体,2456,2026-02-06,2026-02-26,延期,596808
ORD0118,华东制造,电机外壳,5812,2026-03-15,2026-03-31,延期,1336760
ORD0119,海川装备,铝合金支架,683,2026-03-25,2026-04-06,延期,56006
ORD0120,海川装备,铝合金支架,5422,2026-04-07,2026-04-28,已完成,1133198
